model,mae,mse,rmse,r2,train_mae,train_rmse,train_r2
Gradient Boosting,6.24542115568331,63.12618558922525,7.94519890180386,0.8208673338725134,5.949936614239316,7.528574417605199,0.8309672118178376
Linear Regression,6.362135686288954,65.66293258680541,8.10326678487173,0.8136688274408973,6.369579545713378,8.061723792990467,0.8061787951771089
Random Forest,6.4526871287128715,67.39412233572278,8.209392324388132,0.8087562442964934,2.3995055094713384,3.0943614588496464,0.9714446461440508
Decision Tree,8.860905940594058,130.3399353960396,11.416651671836169,0.6301354198349959,0.0,0.0,1.0
Dummy Regressor,14.962424337165672,353.1369920522851,18.791939550038073,-0.002093985310656299,14.705977060982425,18.31164119543098,0.0
